Clicker Name,Description,Time spent,Link,Audience,Coin,App launch date,Token launch date,Telegram channel ,Partners,
Hamster Kombat,,,https://t.me/hamster_kombat_bot,"82,4 m",HAMSTER,17.03.2024,26.09.2024,https://t.me/hamster_kombat,"GotBit
n кол-во бирж
",
Dogs,,,https://t.me/dogshouse_bot,50 m,DOGS,09.07.2024,26.08.2024,https://t.me/dogs_community,"Notcoin
Blum
TonFoundation ?
n кол-во бирж
",Закончился 
Blum,,,https://t.me/BlumCryptoBot,"27,7 m",BLUM,19.04.2024,Q4 2024,https://t.me/blumcrypto,"X Empire
Binance Labs
Dogs
Afterland
","Раз в 7 часов собирать дроп 
Сыграть 5 игр в день примрено 10 минут 
Тотал - 15 минут "
X Empire,,,https://t.me/empirebot,"17,4 m",,30.06.2024,xx.09/10.2024,https://t.me/empirex,"ByBit
Blum
Notcoin ?
",
Major,,,https://t.me/major,"16,4 m",,02.07.2024,,https://t.me/starsmajor,"Fintopio
BingX
Catizen
",
TapSwap,,,https://t.me/tapswap_bot,"13,6 m",,15.02.2024,Q3 2024,https://t.me/tapswapai,"BEER memecoin
Wuffi token
Memeverse project 
",
MemeFi,,,https://t.me/memefi_coin_bot,"11,4 m","MEMEFI 
(on Linea)",29.03.2024,09.10.2024,https://t.me/memeficlub,"Consensys Software Inc (via LEIA)
Oddiyana Venture
Mapleblock Capital
Forj from Animoca Brands 
NxGen
1win
XYRO
BEAM
Nomis
Notcoin
Manta Network
","3 раза в день - бусты + восполнение энгергии, 15 минут в день."
PixelTap,,,https://t.me/pixelversexyzbot,"11,1 m",PIXFI,26.04.2024,18.07.2024,"https://t.me/pixelverse_xyz 
","SafePal
Param Labs
Blum
Jambo
Azur Games
TON
",
Time Farm,,,https://t.me/TimeFarmCryptoBot,"10,9 m","TIME
SECOND ?",05.06.2024,,https://t.me/TimeFarmChannel,"LaborX 
Chrono.tech 
Brave
Gate.io 
Phemex 
OKX ?
DWF ?
",
YesCoin,,,https://t.me/theYescoin_bot,"10,2 m",YES,03.04.2024,,https://t.me/theYescoin,"Catizen
Dotcoin
TON
",
1WIN,,,https://t.me/token1win_bot,10 m,1WIN ?,16.07.2024,,https://t.me/ceo1w_token,"1Win
",
Lost Dogs,,,https://t.me/lost_dogs_bot,"9,6 m",WOOF,01.08.2024,12.09.2024 or later,"https://t.me/lostdogscoeng 
https://t.me/lostdogscoru ","Notcoin
Getgems
","Отвечать на вопросы, решать задачки + выполнять квесты. 20 минут в день. "
Rocky Rabbit,,,https://t.me/rocky_rabbit_bot,"9,5 m",,22.06.2024,,https://t.me/rockyrabbitio,"BitGet
",
WCoin,,,https://t.me/wcoin_tapbot,"9,3 m",WCN,02.05.2024,,https://t.me/w_community,"Catizen
YesCoin (not yellow)
",
Catizen,,,https://t.me/catizenbot,"8,9 m",CATI,19.03.2024,,https://t.me/CatizenAnn,"HashKey
Notcoin
Elliptic
TON
TOP
Matr1x
DWF ?
TonFish
The Pixels
Anon
","Скрещивание котов, выполнение квестов. 15 минут в день. "
Dotcoin,,,https://t.me/dotcoin_bot,"8,3 m",DTC,16.03.2024,,https://t.me/dotcoincommunity,"Venom Blockchain
W-coin
TIGER
GRAM",
ToMarket,,,https://t.me/Tomarket_ai_bot,"6,9 m",TOMATO ?,04.07.2024,Q4 2024,https://t.me/tomarket_ai,"Bitget wallet
Foresight Ventures
ForesightX
Tonstakers",
Cats,,,https://t.me/catsgang_bot,"6,5 m",,12.07.2024,,https://t.me/Cats_housewtf,"Nomis
RoOLZ",
Gamee,,,https://t.me/gamee,"6,4 m",WAT,"04.06.2024
мб раньше, но переименовались из Phoenix",,"https://t.me/gameechannel
https://t.me/watbird ","Notcoin
Pantera Capital (gamee)
Animoca Brands (gamee)
TON Ventures
Pudgy Penguins
Mocaverse
Space Doodles
Lil Pudgys
SanFran Tokyo
Grapes
Arc8 Beasts ",
SEED App,,,https://t.me/seed_coin_bot,"5,8 m",SEED ?,20.05.2024,,https://t.me/seedupdates,"Catizen
",
BOOMS,,,https://t.me/booms_io_bot,"5,8 m",BOOMS,20.07.2024,,https://t.me/booms_io,"везде купили рекламу, поэтому онлайн большой
",
HOT Wallet,,,https://t.me/herewalletbot,"5,2 m",HOT,31.01.2024,,https://t.me/hotonnear,"Everstake
Near
1inch
Base
Aurora
hapi
Bluwhale
PlanetQuest
Humance 
PitchTalk
Metropolis 
DeXe Protocol 
","Раз в 6-12 часов (зависит от бустов) собирать дроп. 5 минут в день.


"
OKX Racer,,,https://t.me/OKX_official_bot,"4,7 m",,18.07.2024,,https://t.me/okx_racer_official_announcement,"OKX
TonFoundation
MemeFi
Ventus
WatProtocol
Nomis
OrbitonX
Cat Gold Miner
TON Station
Spice Mars
Time Farm
Bcoin 2048
","20 минут в день, есть автоматизация, нужно угадывать курс биткоина в следующие 5 секунд"
JetTon Games ,,,https://t.me/jetton,4 m,JETTON,,,,,
BUMP,,,https://t.me/MMproBump_bot,4 m,BUMP,20.06.2024,,https://t.me/marketmakingpro,"Zima Bank
Tonkeeper
Cointelegraph
Tonstakers
Trending Apps
",
CyberFinance,,,https://t.me/CyberFinanceBot,"3,9 m",CFI,18.04.2024,,https://t.me/CyberFinanceNews,"Storm Trade
TIGER token
0xScore
Vertus
TRUECOIN
Tilted
Master Protocol
Dormint
Attarius Network
Nomis
",
PocketFi,,,https://t.me/pocketfi_bot,"2,7 m",SWITCH,15.04.2024,,https://t.me/pocketfi,"TON Punks
Tonstakers
",
DejenDog,,,https://t.me/DejenDogBot,"2,6 m","HIT
HSK ?",03.07.2024,,https://t.me/DejenNews,"Hashkey
Catizen
TonGiftsbot
Architec.ton 
Cat Gold Miner 
TonFoundation
",
WormFare,,,https://t.me/wormfare_slap_bot,"2,5 m",WOFR,23.02.2024,,https://t.me/wormfare,"Planet Hares
XPLUS
Karmaverse
Terminal
MINE WARZ
XP.NETWORK
MemeFi
Aviatrix
GameFi
Chainers
HAQQ
Xally Chain
Puffverse
StarMech
Nexaa
Creo Engine
A3S protocol
Hold Wallet
Catizen
Dechat
TapCoins
Codyfight
BUMP
BitGet",
B,,,https://t.me/b_usersbot,"2,4 m",,07.08.2024,,https://t.me/b_users,StonFi ???,
Nomis,,,https://t.me/NomisAppBot,"2,3 m",,04.07.2024,,https://t.me/nomis_protocol,"OGCommunity
GAGARIN
zkLink
ThirdFi
OKX Racer
Pumpers.tg
Wonnie
Radiant
Dogs
Aqua Protocol
Tabi
CryptoRank
Time Farm
OKX Racer
CyberFinance
DeGuard
Maneki
Snapster
",
Diamore.co,,,https://t.me/DiamoreCryptoBot,2 m,,31.05.2024,,https://t.me/diamoremarket,"CaptainsBay
Architec_ton
",
Iceberg,,,https://t.me/IcebergAppBot,2 m ,ICEBERG,06.05.2024,,https://t.me/icebergen,"Get Games
Cyber Finance
Bull Run
",
Bcoin,,,https://t.me/Bcoin2048bot,"1,9 m",,30.05.2024,,https://t.me/bcoin2048,"Adsgram
Notcoin ?
X Empire ?
OKX Racer ?
1Win ?
",
Cat Gold Miner,,,https://t.me/catgoldminerbot,"1,7 m",CATGM,16.05.2024,,https://t.me/catgoldminerann,"Coin98 Super Wallet
Bitget
Bitget Wallet
KIP Protocol
DejenDog
OKX Wallet
TON Meme Party
Merge Pals
Tomarket
Tonstakers
Adsgram
Catizen
",
CITY Holder,,,https://t.me/cityholder,"1,5 m",CITY,14.06.2024,,https://t.me/CITY_Holder,"Hamsterdam
StreamSale
Major
",
Tabi,,,https://t.me/tabizoobot,"1,4 m",,10.07.2024,,https://t.me/tabi_ann,"Binance Labs 
Animoca Brands 
IVC 
Feng Bo from Dragonfly
DIN
","20 минут в день, игра сложнее остальных, типа счастливый фермер с волшебниками "
Dormint,,,https://t.me/dormint_bot,"1,3 m",DORM,15.06.2024,,https://t.me/DormintAnnouncements,"DAO Maker
MVHQ
Polygon
Immutable
",
Aqua Protocol,,,https://t.me/AquaProtocolxyz_Bot,"1,2 m","AquaXP ?
AQUA ?","16.05.2024 (майнинг кончился, но когда токен запустят - неизвестно)",,https://t.me/aquaprotocolxyzchannelen,"DAOLama
Storm Trade
Play Wallet
TonStakers
",
CryptoRank,,,https://t.me/CryptoRank_app_bot,"1,1 m",,08.07.2024,,https://t.me/CR_tApp,"Nomis ?
",
Gleam,,,https://t.me/GleamRewardsBot,1 m,GLEAM ?,23.06.2024,,https://t.me/gleamrewards,"Aqua Protocol
Storm Trade
Bookmaker.XYZ 
",
Anon,,,https://t.me/AnonEarnBot,1 m,ANON,23.06.2024,,https://t.me/anon_club,"Catizen
TON Fish
",
DeWallet,,,https://t.me/dewallet,930 k,,,,https://t.me/delab,,
